Listagem de Filmes Brasileiros com mais de 500.000 Espectadores 1970 a 2018;;;;;;;
;;;;;;;
#;Título da obra;Direção;Produtora;UF;Estreia;Ano de Lançamento;Público
181;"""O Mistério de Robin Hood (1)""";José Alvarenga Jr;Renato Aragão Produções Artísticas;RJ;dez/90;1990;1,269,658
182;"""Vestido pra Casar""";Gerson Sanginitto;Raconto Produções Artísticas;RJ;ago/14;2014;1,258,720
183;"""Banana Split""";Paulo Sérgio Almeida e Rogério Gomes;Pole Video Comunicações;RJ;1988;1988;1,257,683
184;"""A Super Fêmea""";Anibal Massaini;Cinedistri;SP;nov/73;1973;1,252,431
185;"""Os Trapalhões no Rabo do Cometa (1)""";Dedé Santana;Renato Aragão Produções Artísticas;RJ;jan/86;1986;1,250,000
186;"""O Palhaço""";Selton Mello;Bananeira Filmes;RJ;out/11;2011;1,242,880
187;"""Sinal Vermelho: as Fêmeas""";Fauzi Mansur;Davilart Produções;SP;nov/72;1972;1,241,913
188;"""D.P.A. - Detetives do Prédio Azul""";André Pellenz;Paris Produções;SP;jul/17;2017;1,222,898
189;"""Quando as Mulheres Paqueram""";Victor di Mello;Vidya Produções;RJ;fev/72;1972;1,218,525
190;"""O Noviço Rebelde""";Tizuka Yamazaki;Renato Aragão Produções Artísticas;RJ;dez/97;1997;1,214,163
191;"""O Homem do Futuro""";Cláudio Torres;Conspiração Filmes S/A;RJ;set/11;2011;1,211,083
192;"""Eu Dou o que elas Gostam""";Braz Chediak;Sincrofilmes;RJ;jul/75;1975;1,202,643
193;"""Leila Diniz (2)""";Luiz Carlos Lacerda;Ponto Filmes;RJ;mai/87;1987;1,200,000
194;"""Na Trilha da Justiça""";Milton Barragan;Teixeirinha Produções Artísticas;RS;abr/77;1977;1,197,698
195;"""Qualquer Gato""";Tomas Portella;Tietê Produções Cinematográficas;RJ;jun/11;2011;1,194,628
196;"""Rock Estrela""";Lael Rodrigues;CPC;RJ;fev/86;1986;1,192,604
197;"""Tudo Por um Pop Star""";Bruno Garotti;Panorâmica;RJ;out/18;2018;1,187,570
198;"""Amor Bandido""";Bruno Barreto;LC Barreto;RJ;out/78;1978;1,186,750
199;"""As Mulheres que Fazem Diferente""";Cláudio MacDowell, Lenine Otoni, Adnor Pitanga;Di Mello Produções  Cinematográficas;RJ;nov/74;1974;1,179,631
200;"""Parahyba Mulher Macho""";Tizuka Yamazaki;CPC;RJ;set/83;1983;1,177,397
201;"""Os Trapalhões e a Árvore da Juventude (1)""";José Alvarenga Jr;Renato Aragão Produções Artísticas;RJ;jun/91;1991;1,174,274
202;"""Aventuras da Turma da Mônica""";Maurício de Sousa;Maurício de Sousa Produções Cinematográficas;SP;dez/82;1982;1,172,020
203;"""O Marido Virgem""";Saul Lachtermarcher;Bellfilmes Produções Cinematográficas;RJ;jun/74;1974;1,167,772
204;"""Amor Estranho Amor""";Walter Hugo Khoury;Cinearte Produções Cinematográficas;SP;out/82;1982;1,160,909
205;"""O Super Manso""";Ary Fernandes;Cinedistri;SP;nov/74;1974;1,160,233
206;"""A Banana Mecânica""";Braz Chediak;Sincrocine;RJ;set/74;1974;1,157,590
